"Character";"Line";"Season";"Episode_Number"
"Michael";" I’m sorry?";1;1
"Pam";" Nothing.";1;1
"Michael";"  If you’re unhappy with your compensation, maybe you should take it up with HR. OK. Not today, OK? Pam, just be professional. [Sighs]  ";1;1
"Michael";" I think I’m a role model here. I think I garner people’s respect. [Imitating a PA] Attention all Dunder Mifflin employees, please. We have a meeting in the conference room, ASAP.  ";1;1
"Michael";" People I respect, heroes of mine, would be Bob Hope… Abraham Lincoln, definitely. Bono. And probably God would be the fourth one. And I just think all those people really helped the world in so many ways that it’s really beyond words. It’s really incalculable.  ";1;1
"Michael";" Now I know there’s some rumors out there and I just kind of want to set the record straight.";1;1
"Dwight";" I’m Assistant Regional Manager. I should know first.";1;1
"Michael";" Assistant to the Regional Manager.";1;1
"Dwight";" OK, um, can you just tell me please? Just tell me quietly. Can you whisper it in my ear?";1;1
"Michael";" I’m about to tell everybody. I’m just about to tell everybody.";1;1
"Oscar";" Can’t you just tell us.";1;1
"Dwight";" Please, OK? Do you want me to tell ’em?";1;1
"Michael";" You don’t know what it is. [Laughs]";1;1
"Dwight";" OK. You tell ’em. With my permission. Permission granted.";1;1
"Michael";" I don’t need your permission. ";1;1
"Dwight";" Go ahead.";1;1
"Michael";" Corporate has deemed it appropriate to enforce an ultimatum upon me. And Jan is thinking about downsizing either the Stamford branch or this branch.  ";1;1
"Ryan";" I heard they might be closing this branch down. That’s just the rumor going around. This is my first day. I don’t really know.  ";1;1
"Oscar";" Yeah but Michael, what if they downsize here?";1;1
"Michael";" Not gonna happen.";1;1
"Stanley";" It could be out of your hands Michael.";1;1
"Michael";" It won’t be out of my hands Stanley, OK. I promise you that.";1;1
"Stanley";" Can you promise that?";1;1
"Dwight";" On his mother’s grave.";1;1
"Michael";" No.";1;1
"Phyllis";" What?";1;1
"Michael";"  Well, yeah, it is a promise. And frankly, I’m a little insulted that you have to keep asking about it.";1;1
"Stanley";" It’s just that we need to know.";1;1
"Michael";" I know. Hold on a second. I think Pam wanted to say something. Pam, you had a look that you wanted to ask a question just then.";1;1
"Pam";" I was in the meeting with Jan and she did say that it could be this branch that gets the axe.";1;1
"Man";" Are you sure about that?";1;1
"Michael";" Well, Pam maybe you should stick to the ongoing confidentiality agreement of meetings.";1;1
"Dwight";" Pam, information is power.";1;1
"Stanley";" You can’t say for sure whether it’ll be us or them, can you?";1;1
"Michael";" No, Stanley. No, you did not see me in there with her. I said if Corporate wants to come in here and interfere, then they’re gonna have to go through me. Right? You can go mess with Josh’s people, but I’m the head of this family, and you ain’t gonna be messing with my chillin.  ";1;1
"Jim";" If I left, what would I do with all this useless information in my head? You know? Tonnage price of manila folders? Um, Pam’s favorite flavor of yogurt, which is mixed berry.  ";1;1
"Pam";" Jim said mixed berries? Well, yeah, he’s on to me. Um… [Laughs]  ";1;1
"Michael";" Watch out for this guy. Dwight Schrute in the building. This is Ryan, the new temp.";1;1
"Ryan";" What’s up? Nice to meet you.";1;1
"Michael";" Introduce yourself. Be polite. ";1;1
"Dwight";" Dwight Schrute, Assistant Regional Manager.";1;1
"Michael";" Assistant to the Regional Manager. So, uh, Dwight tell him about the kung fu and the car and everything.";1;1
"Dwight";" Uh… yeah I got a ’78 280Z. Bought it for $1,200. Fixed it up. It’s now worth three grand.";1;1
"Michael";" That’s his profit.";1;1
"Dwight";" New engine, new suspension, I got a respray. I’ve got some photos.  ";1;1
"Dwight";" Damn it! Jim!";1;1
"Michael";" OK. Hold on, hold on. The judge is in session. What is the problem here?";1;1
"Dwight";" He put my stuff in Jell-O again.";1;1
"Pam";" [Laughing]";1;1
"Dwight";" That’s real professional thanks. That’s the third time and it wasn’t funny the first two times either Jim.  ";1;1
"Dwight";" It’s OK here, but people sometimes take advantage because it’s so relaxed. I’m a volunteer Sheriff’s Deputy on the weekends. And you cannot screw around there. That’s sort of one of the rules.  ";1;1
"Michael";" What is that?";1;1
"Dwight";" That is my stapler.";1;1
"Michael";" No, no, no. Do not take it out. You have to eat it out of there, because there are starving people in the world [turns to camera] which I hate, and it is a waste of that kind of food.";1;1
"Dwight";" OK you know what, you can be a witness. [points to Ryan] Can you reprimand him?";1;1
"Jim";"  How do you know it was me?";1;1
"Dwight";" It’s always you. Are you going to discipline him or not?";1;1
"Michael";" Discipline. Kinky! [Laughs] All right, here’s the deal you guys. The thing about a practical joke is you have to know when to start and as well as when to stop.";1;1
"Dwight";" Yeah.";1;1
"Michael";"  And yeah, Jim this is the time to stop putting Dwight’s personal effects into Jell-O.";1;1
"Jim";" OK. Dwight, I’m sorry, because I have always been your biggest flan.";1;1
"Michael";" [Laughing] Nice. That’s the way it is around here. It just kind of goes round and round.";1;1
"Ryan";" You should’ve put him in custardy.";1;1
"Michael";" Hey! Yes! New guy! He scores.";1;1
"Dwight";" OK, that’s great. I guess what I’m most concerned with is damage to company property. That’s all.";1;1
"Michael";" Pudding. Pudding… I’m trying to think of another dessert to do.  ";1;1
"Jim";" Do you like going out at the end of the week for a drink?";1;1
"Pam";" Yeah.";1;1
"Jim";" That’s why we’re all going out. So we can have an end-of-the-week-drink.";1;1
"Pam";" So when are we going out?";1;1
"Jim";" Tonight, hopefully.";1;1
"Pam";" OK. Yeah.";1;1
"Roy";" Hey, man.";1;1
"Jim";" What’s going on?";1;1
"Roy";" Hey, baby.";1;1
"Pam";" Hey.  ";1;1
"Pam";" Roy’s my fiance. We’ve been engaged about three years. We were supposed to get married in September but I think we’re gonna get married in the spring.  ";1;1
"Pam";" Do you mind if I go out for a drink with these guys?";1;1
"Roy";" No, no. Come on. Let’s get out of here and go home.";1;1
"Pam";" OK. I’m gonna be a few minutes. So it’s only twenty past five. I still have to do my faxes.";1;1
"Jim";" You know what? You should come with us. Because you know we’re all going out and it could be a good chance for you to see what people are like outside the office. I think it could be fun.";1;1
"Roy";" It sounds good. Seriously, we’ve gotta get going.";1;1
"Jim";" Yeah, yeah. ";1;1
"Jim";" Um… What’s in the bag?";1;1
"Roy";" Just tell her I’ll talk to her later.";1;1
"Jim";" No, definitely. All right, dude. Awesome. Will do.  ";1;1
"Jim";" Do I think I’ll be invited to the wedding? [scratches head]  ";1;1
"Michael";" So have you felt the vibe yet? We work hard, we play hard. Sometimes we play hard when we should be working hard. Right? I guess the atmosphere that I’ve created here is that I’m a friend first, and a boss second… and probably an entertainer third. [Knock at door] Just a second. Right? Oh, hey do you like The Jamie Kennedy Experiment? Punk’d and all that kind of stuff?";1;1
"Ryan";" Yeah.";1;1
"Michael";" You are gonna be my accomplice. Just go along with it, OK?";1;1
"Ryan";" All right.";1;1
"Michael";" Just follow my lead. Don’t pimp me, all right? Come in. So, uh, Corporate just said that I don’t want to…";1;1
"Pam";" You got a fax.";1;1
"Michael";" Oh, thank you. Pam, can you come in here for a sec. Just have a seat. I was gonna call you in anyway. You know Ryan. As you know, there is going to be downsizing. And you have made my life so much easier in that I am going to have to let you go first.";1;1
"Pam";" What? Why?";1;1
"Michael";" Why? Well, theft and stealing.";1;1
"Pam";" Stealing? What am I supposed to have stolen?";1;1
"Michael";" Post-it Notes.";1;1
"Pam";" Post-it Notes? What are those worth, 50 cents?";1;1
"Michael";" 50 cents, yeah. If you steal a thousand Post-It Notes at 50 cents apiece, and you know,  you’ve made a profit… margin. You’re gonna run us out of business, Pam.";1;1
"Pam";" Are you serious?";1;1
"Michael";" Yeah. I am.";1;1
"Pam";" I can’t believe this. I mean I have never even stolen as much as a paperclip and you’re firing me.";1;1
"Michael";" But the best thing about it is that we’re not going to have to give you any severance pay. Because that is gross misconduct and… Just clean out your desk. I’m sorry.";1;1
"Michael";" [Pam starts crying] You been X’d punk! [Laughing] Surprise! It’s a joke. We were joking around. See? OK. He was in on it. He was my accomplice. And it was kind of a morale booster thing. And we were showing the new guy around, giving him the feel of the place. So you… God, we totally got you.";1;1
"Pam";" You’re a jerk.";1;1
"Michael";"  I don’t know about that.  ";1;1
"Michael";" What is the most important thing for a company? Is it the cash flow? Is it the inventory? Nuh-uh. It’s the people. The people. My proudest moment here was not when I increased profits by 17% or when I cut expenses without losing a single employee. No, no, no, no, no. It was a young Guatemalan guy. First job in the country, barely spoke English. He came to me, and said, “Mr. Scott, would you be the godfather of my child?” Wow. Wow. Didn’t work out in the end. We had to let him go. He sucked.  ";1;1
"Pam";" Hey.";1;1
"Jim";" Hey.";1;1
"Jim";" How are things?";1;1
"Pam";" Good. I thought you were going out for a drink with…";1;1
"Jim";" Oh no, I just decided not to. How’s your headache?";1;1
"Pam";" It’s better, thanks. ";1;1
"Jim";" Good. Good. ";1;1
"Pam";" Yeah.";1;1
"Jim";" That’s great";1;1
"Pam";" Is…?";1;1
"Jim";" Yeah?";1;1
"Pam";" Um… Are you…";1;1
"Jim";" Am I walking out?";1;1
"Pam";" Yes.";1;1
"Jim";" Yes, I… Do you want to…";1;1
"Pam";" Yeah.";1;1
"Jim";" Great. Let me just…";1;1
"Jim";" [Car horn honking] Oh, Roy.";1;1
"Pam";" Yeah. Listen, have a nice weekend.";1;1
"Jim";" Yeah, definitely. You too. Enjoy it. [looks at camera] You know what, just come here.  ";1;1
"Dwight";" Dwight Schrute. My father’s name, also Dwight Schrute. My grandfather’s name, Dweide Schrude, Amish. That’s my family. I don’t know where they came, the Amish, came from originally. Uh, Amland.    ";1;1
"Michael";" [holding up a Dundie and pretending it is talking] Hello. I’m Michael Scott. I’m the best boss in the world.    ";1;1
"Jim";" My name is Jim Halpert and I am a sales rep, which is a very important job. Um, without me dozens literally dozens of small businesses would go paperless.  They would have to write on their hands, or bed sheets, or who knows you know. Total chaos, total chaos. I mean or they could get their paper somewhere else. Staples maybe. I don’t know.  ";1;1
"Michael";" Pam! Pam-Pam! Pam has been with us for…  forever. Right, Pam?";1;1
"Pam";" I guess.";1;1
"Michael";" Yeah, at one time or another every guy in the office has sprayed on Pam.";1;1
"Pam";" What?";1;1
"Michael";" Messages?  ";1;1
"Dwight";" People respond to the human touch and that’s what I give them. I can look at a client and I can say, “Hello, how are you? How’s business been going?” And we can go back and forth for sometime and uh, then I’ll say, How much, how many reams do you want?” And they’ll order it and then I’ll take care of all the sales. I’ll make sure that they get that paper. And they appreciate that.  ";1;1
"Michael";" Ah, right here. Three Stooges. High five. [Michael and Ryan high five] Oh, Pam. It’s a guy thing, Pam. [camera cuts to Pam then back to Michael] Now, who was the one before Curly?";1;1
"Ryan";" Uh, Shemp.";1;1
"Michael";" Curly? Very good. Curly Joe DeRita.";1;1
"Ryan";" Just Curly. Joe DeRita was different.";1;1
"Michael";" Well, comedy’s kinda my thing. Watch this, here’s Curly Joe. Mmm. Me, me, me, me, me, me. Me, me, me, me, me, me. Oh, I forgot. Here we go. [Yelling in cod German] I’m Hitler. Right. [Continues with cod German] Me, me, me, me, me, me. Curly Joe Hitler. [laughs]  ";1;1
"Michael";" All these people are walking around and they’re happy and their lives are just going along, ignorance is bliss. But if they knew what was lurking on the other side of that fence that furry monster. [imitating monster] “I’m gonna get you, downsizing.” No. They wouldn’t… They’d freak. And I’m not going to play God. They look to me for support. And they look to me for guidance and leadership. And I think if I could lie to them and it serves them, then that’s what I’m going to do.  ";1;1
"Michael";" So this is our sales staff. They are the ones who are making calls and making us lots of money. [comes to a screeching halt and laughs] This is accounting. The numbers dudes. Do not let the job description fool you, they are all completely crazy. Especially that guy, he is a mental patient. [camera zooms in on Kevin] Not literally of course, that wouldn’t work. The last place you’d want somebody like that is accounting. [hides behind office plant] “Very interesting, but stupid.” Artie Johnson. It’s a crazy place.  ";1;1
"Angela";" My name is Angela and um, I’m in charge of the accounting department. There are three of us, Kevin and Oscar.";1;1
"Oscar";" It’s my job to keep the books in order. And, um, I… I’m, uh, immediately below my supervisor.";1;1
"Angela";" Oscar, how do I describe him. He’s like a stapler. Do I need a stapler? Yes. But, I’m still the one that has to push it down.";1;1
"Oscar";" There’s a lot of anxiety. I don’t want to get laid off. This place is like five minutes from my house.";1;1
"Kevin";" I don’t wanna be laid off. This is a good job for me. ‘Cause I need my nights free. I’m in a band.";1;1
"Angela";" Not very worried about downsizing right now. Because, uh, I think you’ve met Kevin and um…";1;1
"Oscar";" Can I just say one thing? Um, my friend is Jewish, Art Geller. And a couple of years ago he, um, showed me how you can plant a tree in Israel, so I planted a tree. So… You know ’cause… Yeah we work in paper. Well, you know, I try to give back.";1;1
"Angela";" I have a lot of cat figurines on my desk. I think cats, really, are old souls. And, uh, Phyllis thinks so too.  ";1;1
"Michael";" What you don’t know… Well, it can hurt you, but if you don’t know it won’t hurt you. Then, you can just be happy for a little while at least.  ";1;1
"Michael";" What’s that?";1;1
"Pam";" Wired.";1;1
"Michael";" Oh, John Belushi. What a crazy guy. Phew, freaked myself out this morning.";1;1
"Pam";" Oh, yeah.";1;1
"Michael";" Yeah. I thought I found a lump. I checked the, uh… I check the jewels every month. This time… You know, it’s a little different. It was fine. It was fine. But freaky, man, you know. Testicular cancer, God. Cancer, whoa testicles. So… What’s, um… What you eating?";1;1
"Pam";" Smoked turkey.";1;1
"Michael";" Oh, place around the corner. Nice. All right. See you later.  ";1;1
"Michael";" Do I need to speak up? [grabs boom microphone] Hello.  ";1;1
"Documentary Crew Member";" [boom microphone drops into the camera shoot] Can you move it out? Can you move it? Is that all right? Can you make that work?";1;1
"Dwight";" That’s fine.";1;1
"Documentary Crew Member";"  [new take] No, you don’t even need … That’s fine. We’ll keep it…";1;1
"Dwight";" I’m sorry it makes me nervous.";1;1
"Documentary Crew Member";" Understood, but it is what we need to capture what you’re saying as clearly as possible.";1;1
"Dwight";" I understand. It’s in a blind spot because I’m trained in several martial arts and one of them, uh, includes, uh, an awareness that the masters bring, uh, of anything on all sides of you. It could be behind you or whatever. This is directly in a blind spot, so I’m trained to respond negatively to something right above my head. [new take] This now I have an eye on. You see, it’s on my periphery and if I needed to block it, attack it, stop it somehow. [does a martial arts move with his hands] I could come right out. I mean, I know you’re doing your job, but… Documentary Crew Member:";1;1
"Dwight";" I’m doing my job.  ";1;1
"Michael";" I think better to be a happy idiot then a, um… Then someone who knows the truth.  ";1;1
"Michael";" Gotcha. Good. I’d go with the rows. That’s a good idea.  ";1;2
"Michael";" Today is diversity day and someone’s going to come in and talk to us about diversity. It’s something that I’ve been pushing, that I’ve been wanting to push, for a long time and Corporate mandated it. And I never actually talked to Corporate about it. They kind of beat me to the punch, the bastards. But I was going to. And I think it’s very important that we have this. I’m very, very excited.  ";1;2
"Jim";" That’s the thing. It’s very sturdy paper and on the back it says, “100% post-consumer content.” What? Hello? Uh-huh. Wait. What? I’m sorry, Mr. Decker. I think I’m losing you. [Shedder whirring] Hello? Hello? Yeah. Hold on one second. I don’t know. Hold on one second.";1;2
"Jim";" Do you really have to do that right now?";1;2
"Dwight";" Yes I do. I should have done it weeks ago actually.";1;2
"Jim";" Mr. Decker, I’m sorry about that. What were you… Can you hold on one second? Yeah, just one second. Thanks. [Power off, silence] Hello? That’s it. Perfect. So what I was saying… [Dialing tone] Hello? Thanks, Dwight.";1;2
"Dwight";" Retaliation. Tit for tit.";1;2
"Jim";" That is not the expression.";1;2
"Dwight";" Well, it should be.  ";1;2
"Jim";" This is my biggest sale of the year. They love me over there for some reason. I’m not really sure why but I make one call over there every year, just to renew their account, and that one call ends up being 25% of my commission for the whole year, so I buy a mini bottle of champagne, celebrate a little. And this year I’m pushing recycled paper on them for one percent more. I know. I’m getting cocky. Right?  ";1;2
"Jim";" Solitaire?";1;2
"Pam";" Yeah, Freecell.";1;2
"Jim";" Six on seven.";1;2
"Pam";" I know. I saw that.";1;2
"Jim";" So then, why didn’t you do it?";1;2
"Pam";" I’m saving that ’cause I like it when the cards go T-ts-ts-tch-tch-tch.";1;2
"Jim";" Who doesn’t love that?  ";1;2
"Michael";" Hey, Oscar! How are you doing, man? ";1;2
"Oscar";" All right.";1;2
"Michael";" Did you have a good weekend going there?";1;2
"Oscar";" It was fine.";1;2
"Michael";" Oh yeah, I bet it was fun. [to Mr. Brown] Oh, hey! This is Oscar—";1;2
"Oscar";" Martinez.";1;2
"Michael";"  Right. See? I don’t even know, first-name basis!";1;2
"Mr. Brown";" Great. We’re all set.";1;2
"Michael";" Oh hey, well, diversity, everybody, let’s do it. Oscar works in… here. Jim, could you wrap it up, please?";1;2
"Jim";" Yeah, uh, Mr. Decker, please.";1;2
"Michael";" It’s diversity day, Jim. I wish every day was diversity day.";1;2
"Jim";" You know what? I’m actually going to have to call you back. Thank you. Sorry about that.  ";1;2
"Mr. Brown";" Thank you. Thank you. Thank you. Great.";1;2
"Michael";" Come on people, let’s get ’em in. Get in the cards! Get in the cards!";1;2
"Mr. Brown";" Thank you. Thank you very much. OK. Thanks for filling these out and I promise this’ll be quick. At Diversity Today, our philosophy is about honesty and positive expectations. We believe that 99% of the problems in the workplace arise simply out of ignorance.";1;2
"Michael";" You know what? This is a color-free-zone here. Stanley, I don’t look at you as another race.";1;2
"Mr. Brown";" Uh, see this is what I’m talking about. We don’t have to pretend we’re color-blind.";1;2
"Michael";" Exactly, were not…";1;2
"Mr. Brown";" That’s fighting ignorance with more ignorance.";1;2
"Michael";" With tolerance.";1;2
"Mr. Brown";" No. With more ignorance.";1;2
"Michael";" Ignorance.";1;2
"Mr. Brown";" Right. Exactly. Uh, instead, we need to celebrate our diversity.";1;2
"Michael";" Let’s celebrate.";1;2
"Mr. Brown";" Right. OK.";1;2
"Michael";" Celebrate good times. Come on! Let’s celebrate diversity. Right?";1;2
"Mr. Brown";" Yes, exactly. Now here’s what we’re going to do. I’ve noticed that…";1;2
"Michael";" You know what? Here’s what we’re going to do. Why don’t we go around and everybody… everybody say a race that you are attracted to sexually. I will go last. Go.";1;2
"Dwight";" I have two. White and Indian.";1;2
"Mr. Brown";" Actually, I’d prefer not to start that way. Michael, I would love to have your permission to run this session. Can I have your permission?";1;2
"Michael";" Yes.";1;2
"Mr. Brown";"  Thank you very much. And it would also help me if you were seated.";1;2
"Michael";" OK.";1;2
"Mr. Brown";" Thank you. OK. Now, at the start of the session, I had you all write down an incident that you found offensive in the workplace. Now, what I’m going to do is choose one and we’re going to act it out.";1;2
"Dwight";" A few of the ground rules? ";1;2
"Michael";" Hey, hey why don’t you run it by me and I’ll run it by him.";1;2
"Dwight";" OK, can we steer away from gay people?";1;2
"Mr. Brown";" Um…";1;2
"Dwight";" I’m sorry. It’s an orientation. It’s not a race. Plus a lot of other races are intolerant of gays, so…paradox.";1;2
"Mr. Brown";" Well, we only have an hour.";1;2
"Dwight";" I figured it would save time.";1;2
"Michael";" OK. Why don’t we just defer to Mr…";1;2
"Mr. Brown";" Mr. Brown.";1;2
"Michael";" Ah. Oh, right! OK. First test. I will not call you that.";1;2
"Mr. Brown";" Well, it’s my name. It’s not a test. OK? Um, so looking through the cards, I’ve noticed that many of you wrote down the same incident, which is ironic, because it’s the exact incident I was brought in here to respond to. Now, how many of you are familiar with the Chris Rock routine? Very good. OK.  ";1;2
"Michael";" How come Chris Rock can do a routine and everybody finds it hilarious and ground-breaking and then I go and do the exact same routine, same comedic timing, and people file a complaint to Corporate? Is it because I’m white and Chris is black?  ";1;2
"Mr. Brown";" So we’re going to reenact this with a more positive outcome.";1;2
"Michael";" I will play the Chris Rock guy. I would like to see someone else pull this off.";1;2
"Mr. Brown";" Well, let’s have someone who wasn’t involved in the reenactment.";1;2
"Michael";" OK, I will play guy listening.";1;2
"Mr. Brown";" Great. Guy listening. Ok, anyone else remember?";1;2
"Kevin";" I remember.";1;2
"Mr. Brown";" Great. You’re the Chris Rock guy and you’re guy listening.";1;2
"Michael";" OK.  ";1;2
"Michael";" Kevin is a great guy. He’s a great accountant. He is not much of an entertainer.  ";1;2
"Kevin";" Basically, there are two types of black people and black people are actually more racist because they hate the other type of black people. Every time the one type wants to have a good time, then the other type comes in and makes a real mess.";1;2
"Michael";" OK. I’m sorry. I’m sorry. He’s ruin… He’s butchering it. Could you just let me… [As Chris Rock] Every time… Every time black people want to have a good time, some ignant ass… [Bleep] I take care of my kid!";1;2
